C,H,N,O,S,fragmentType
NA,3,1.0,NA,NA,c0
11.0,22,6.0,2.0,NA,c2
22.0,41,9.0,4.0,NA,c4
27.0,49,11.0,6.0,NA,c5
32.0,57,13.0,8.0,NA,c6
41.0,66,14.0,9.0,NA,c7
50.0,75,15.0,10.0,NA,c8
52.0,78,16.0,11.0,NA,c9
58.0,89,17.0,12.0,NA,c10
63.0,97,17.0,14.0,1.0,precursor
5.0,9,NA,2.0,1.0,z1
11.0,20,1.0,3.0,1.0,z2
13.0,23,2.0,4.0,1.0,z3
22.0,32,3.0,5.0,1.0,z4
31.0,41,4.0,6.0,1.0,z5
36.0,49,6.0,8.0,1.0,z6
41.0,57,8.0,10.0,1.0,z7
52.0,76,11.0,12.0,1.0,z9
63.0,95,16.0,14.0,1.0,z11
