"","M","totInt","specNo"
"188",203.41,16200.9738769531,"134"
"189",203.42,9283.99829101562,"134"
"190",203.55,0,"37"
"191",203.56,28689.6103515625,"37"
"192",203.57,9259.02709960938,"74"
"193",203.58,15346.6662597656,"74"
"194",203.59,7435.40551757812,"24"
"195",203.6,18561.8596191406,"24"
"196",203.65,24469.2834472656,"183"
"197",203.66,4719.3349609375,"183"
"198",203.67,8662.97509765625,"96"
"199",203.68,59141.1135253906,"96"
"200",203.69,0,"96"
"201",203.72,0,"176"
"202",203.73,24640.3862304688,"176"
"203",203.74,0,"176"
"204",203.8,0,"74"
"205",203.81,53161.0131835938,"27"
"206",203.82,29885.2856445312,"27"
"207",203.83,35158.3283691406,"61"
"208",203.84,0,"37"
"209",203.85,28576.5419921875,"37"
"210",203.86,0,"40"
"211",203.87,60399.3305664062,"32"
"212",203.88,25302.373046875,"32"
"213",203.89,0,"138"
"214",203.92,0,"19"
"215",203.93,45596.5014648438,"19"
"216",203.94,0,"19"
"217",203.95,0,"178"
"218",203.96,24965.5961914062,"178"
"219",203.97,0,"178"
"220",204.03,0,"33"
"221",204.04,44441.2316894531,"20"
"222",204.05,4326.970703125,"20"
"223",204.14,0,"87"
"224",204.15,34382.2817382812,"18"
"225",204.16,20538.6875,"18"
"226",204.17,0,"94"
"227",204.18,23754.4641113281,"94"
"228",204.19,23645.3666992188,"54"
"229",204.2,0,"54"
"230",204.28,0,"82"
"231",204.29,30095.7023925781,"82"
"232",204.3,0,"82"
"233",204.37,0,"92"
"234",204.38,50738.5861816406,"9"
"235",204.39,28957.7905273438,"9"
"236",204.4,0,"174"
"237",204.42,21171.91796875,"170"
"238",204.43,3346.68994140625,"170"
"239",204.45,25074.3388671875,"78"
"240",204.46,4046.56420898438,"78"
"241",204.5,0,"124"
"242",204.51,29198.904296875,"124"
"243",204.52,0,"124"
"244",204.53,21588.7783203125,"132"
"245",204.54,0,"132"
"246",204.58,0,"141"
"247",204.59,63670.9409179688,"141"
"248",204.6,0,"141"
"249",204.64,0,"152"
"250",204.65,26933.5600585938,"152"
"251",204.66,16828.9680175781,"134"
"252",204.67,12869.9189453125,"134"
"253",204.69,0,"113"
"254",204.7,41920.0268554688,"113"
"255",204.71,25220.8212890625,"80"
"256",204.72,4553.3740234375,"80"
"257",204.73,51991.9580078125,"120"
"258",204.74,5444.11865234375,"120"
"259",204.75,0,"130"
"260",204.76,16734.755859375,"130"
"261",204.77,0,"130"
"262",204.78,7289.44921875,"46"
"263",204.79,20441.9760742188,"46"
"264",204.83,23494.2744140625,"167"
"265",204.84,10110.0205078125,"167"
"266",204.86,13022.7875976562,"121"
"267",204.87,7304.93310546875,"121"
"268",204.88,0,"7"
"269",204.89,27825.0454101562,"7"
"270",204.9,0,"7"
"271",204.93,10093.3505859375,"182"
"272",204.94,15139.5830078125,"182"
"273",205.02,19051.1752929688,"114"
"274",205.03,11450.5222167969,"25"
"275",205.04,41872.9772949219,"25"
"276",205.05,2764.07055664062,"62"
"277",205.06,0,"151"
"278",205.07,26757.6215820312,"151"
"279",205.08,21772.2080078125,"153"
"280",205.09,41367.5485839844,"196"
"281",205.1,7196.08081054688,"196"
"282",205.12,56398.4643554688,"154"
"283",205.13,30002.4326171875,"154"
"284",205.14,4970.625,"172"
"285",205.15,21995.1853027344,"137"
"286",205.16,25019.8820800781,"137"
"287",205.17,0,"129"
"288",205.18,20176.373046875,"129"
"289",205.19,0,"129"
"290",205.24,16678.0100097656,"163"
"291",205.25,4058.74438476562,"163"
"292",205.26,0,"86"
"293",205.27,9506.15234375,"11"
"294",205.28,53312.7290039062,"11"
"295",205.29,0,"11"
"296",205.3,0,"69"
"297",205.31,41940.8393554688,"69"
"298",205.32,7873.94970703125,"69"
"299",205.34,20198.8015136719,"19"
"300",205.35,2886.46459960938,"19"
"301",205.43,27575.5661621094,"11"
"302",205.44,29774.380859375,"11"
"303",205.45,81088.2700195312,"91"
"304",205.46,0,"11"
"305",205.47,57247.5668945312,"11"
"306",205.48,0,"11"
"307",205.52,10386.4819335938,"199"
"308",205.53,23601.6840820312,"199"
"309",205.54,14155.9611816406,"7"
"310",205.55,14557.0451660156,"7"
"311",205.63,22313.0158691406,"128"
"312",205.64,45183.7446289062,"128"
"313",205.65,45963.1904296875,"165"
"314",205.66,9938.15625,"135"
"315",205.67,20685.0991210938,"135"
"316",205.7,0,"105"
"317",205.71,26597.4060058594,"105"
"318",205.72,0,"105"
"319",205.79,20819.1689453125,"179"
"320",205.8,3105.46240234375,"123"
"321",205.81,25427.6391601562,"123"
"322",205.82,0,"123"
"323",205.83,27708.2373046875,"154"
"324",205.87,0,"23"
"325",205.88,23311.5141601562,"23"
"326",205.92,29944.2587890625,"68"
"327",205.93,0,"68"
"328",205.97,26455.6635742188,"81"
"329",205.98,3701.09033203125,"81"
"330",206,32367.3671875,"32"
"331",206.01,2487.36572265625,"32"
"332",206.03,18626.2155761719,"5"
"333",206.04,46188.7409667969,"5"
"334",206.05,3162.27709960938,"7"
"335",206.12,8154.94091796875,"180"
"336",206.13,12059.7756347656,"164"
"337",206.14,55786.7463378906,"60"
"338",206.15,26839.3977050781,"9"
"339",206.16,24534.4462890625,"9"
"340",206.17,0,"9"
"341",206.18,0,"95"
"342",206.19,18078.171875,"95"
"343",206.2,0,"95"
"344",206.22,0,"156"
"345",206.23,23605.4638671875,"156"
"346",206.24,0,"156"
"347",206.25,24481.5322265625,"166"
"348",206.32,0,"91"
"349",206.33,23596.5268554688,"91"
"350",206.34,0,"91"
"351",206.35,38038.7651367188,"20"
"352",206.36,22475.9133300781,"20"
"353",206.39,0,"184"
"354",206.4,37962.7663574219,"74"
"355",206.41,4486.2626953125,"74"
"356",206.42,0,"165"
"357",206.43,68639.4401855469,"20"
"358",206.44,3825.02124023438,"20"
"359",206.47,16010.6938476562,"175"
"360",206.48,8863.40234375,"175"
"361",206.55,0,"87"
"362",206.56,0,"87"
"363",206.57,0,"87"
"364",206.6,0,"125"
"365",206.61,0,"125"
"366",206.64,24991.73828125,"118"
"367",206.65,5582.30078125,"118"
"368",206.67,25458.052734375,"143"
"369",206.68,10559.1787109375,"143"
"370",206.7,0,"158"
"371",206.71,23466.390625,"158"
"372",206.72,0,"158"
"373",206.73,0,"196"
"374",206.74,32255.6164550781,"196"
"375",206.75,4240.529296875,"196"
"376",206.77,12480.3212890625,"142"
"377",206.78,52004.4555664062,"142"
"378",206.8,2780.05224609375,"136"
"379",206.81,41916.0610351562,"128"
