"","M","totInt","specNo"
"11140",445.43,0,"23"
"11141",445.44,0,"33"
"11142",445.45,3932.36401367188,"33"
"11143",445.46,18682.89453125,"33"
"11144",445.47,3172.66381835938,"33"
"11145",445.48,0,"33"
"11146",445.49,0,"140"
"11147",445.5,4908.0615234375,"140"
"11148",445.51,23228.52734375,"140"
"11149",445.52,4509.43896484375,"140"
"11150",445.53,0,"140"
"11151",445.73,0,"58"
"11152",445.74,9921.93017578125,"58"
"11153",445.75,13247.8896484375,"58"
"11154",445.76,5304.97216796875,"58"
"11155",445.77,0,"58"
"11156",445.81,0,"97"
"11157",445.82,0,"97"
"11158",445.83,13258.9108886719,"97"
"11159",445.84,13347.7932128906,"97"
"11160",445.85,0,"97"
"11161",445.86,0,"97"
"11162",445.9,0,"3"
"11163",445.91,0,"3"
"11164",445.92,6742.2470703125,"3"
"11165",445.93,20767.2983398438,"3"
"11166",445.94,25136.779296875,"1"
"11167",445.95,14524.9426269531,"1"
"11168",445.96,11795.6396484375,"1"
"11169",445.97,17606.4538574219,"1"
"11170",445.98,13025.3288574219,"1"
"11171",445.99,0,"35"
"11172",446,0,"35"
"11173",446.01,0,"88"
"11174",446.02,11713.578125,"88"
"11175",446.03,20805.6455078125,"88"
"11176",446.04,0,"63"
"11177",446.05,19104.9462890625,"63"
"11178",446.06,31882.5615234375,"63"
"11179",446.07,0,"63"
"11180",446.08,0,"63"
"11181",446.11,0,"29"
"11182",446.12,0,"29"
"11183",446.13,20860.9348144531,"29"
"11184",446.14,14479.8056640625,"29"
"11185",446.15,0,"29"
"11186",446.2,0,"148"
"11187",446.21,9390.2880859375,"148"
"11188",446.22,16554.9658203125,"148"
"11189",446.23,4326.3310546875,"148"
"11190",446.24,0,"148"
"11191",446.53,0,"171"
"11192",446.54,0,"47"
"11193",446.55,23706.9482421875,"47"
"11194",446.56,29438.8115234375,"47"
"11195",446.57,29701.1137695312,"47"
"11196",446.58,16192.302734375,"47"
"11197",446.59,0,"47"
"11198",446.6,0,"167"
"11199",446.62,0,"56"
"11200",446.63,8920.68627929688,"56"
"11201",446.64,14865.8720703125,"56"
"11202",446.65,5349.8076171875,"56"
"11203",446.66,0,"56"
"11204",446.81,0,"150"
"11205",446.82,0,"150"
"11206",446.83,14157.794921875,"150"
"11207",446.84,9944.59912109375,"150"
"11208",446.85,0,"150"
"11209",446.86,0,"150"
"11210",447.02,0,"124"
"11211",447.03,0,"124"
"11212",447.04,13841.296875,"124"
"11213",447.05,20586.822265625,"124"
"11214",447.06,0,"124"
"11215",447.07,0,"124"
"11216",447.08,0,"159"
"11217",447.09,7615.8251953125,"159"
"11218",447.1,17068.7709960938,"159"
"11219",447.11,0,"159"
"11220",447.12,0,"159"
"11221",447.16,0,"24"
"11222",447.17,0,"24"
"11223",447.18,14810.2326660156,"24"
"11224",447.19,9697.46948242188,"24"
"11225",447.2,0,"24"
"11226",447.21,0,"24"
"11227",447.3,0,"141"
"11228",447.31,0,"141"
"11229",447.32,14561.4011230469,"141"
"11230",447.33,10775.94140625,"141"
"11231",447.34,0,"141"
"11232",447.35,0,"141"
"11233",447.37,0,"47"
"11234",447.38,0,"47"
"11235",447.39,11053.7299804688,"47"
"11236",447.4,18394.1474609375,"47"
"11237",447.41,0,"47"
"11238",447.42,0,"47"
"11239",447.49,0,"194"
"11240",447.5,3333.36474609375,"194"
"11241",447.51,13636.6254882812,"194"
"11242",447.52,2928.4150390625,"194"
"11243",447.53,0,"194"
"11244",447.57,0,"2"
"11245",447.58,11536.6171875,"2"
"11246",447.59,14803.724609375,"2"
"11247",447.6,10176.2353515625,"2"
"11248",447.61,0,"2"
"11249",447.8,0,"55"
"11250",447.81,3771.53369140625,"55"
"11251",447.82,28410.1186523438,"55"
"11252",447.83,18370.0913085938,"55"
"11253",447.84,3230.103515625,"55"
"11254",447.85,0,"93"
"11255",448.11,0,"12"
"11256",448.12,0,"12"
"11257",448.13,10689.716796875,"12"
"11258",448.14,19490.8232421875,"12"
"11259",448.15,0,"12"
"11260",448.16,0,"12"
"11261",448.33,0,"54"
"11262",448.34,8342.88330078125,"15"
"11263",448.35,12487.109375,"15"
"11264",448.36,15402.0659179688,"15"
"11265",448.37,17759.3371582031,"15"
"11266",448.38,0,"15"
"11267",448.39,0,"15"
"11268",448.41,0,"169"
"11269",448.42,0,"169"
"11270",448.43,16298.96875,"169"
"11271",448.44,10286.1865234375,"169"
"11272",448.45,0,"169"
"11273",448.46,0,"169"
"11274",448.51,0,"29"
"11275",448.52,5636.244140625,"29"
"11276",448.53,21259.2939453125,"29"
"11277",448.54,4299.6376953125,"29"
"11278",448.55,0,"29"
"11279",448.67,0,"61"
"11280",448.68,0,"61"
"11281",448.69,19246.666015625,"61"
"11282",448.7,11465.65234375,"61"
"11283",448.71,0,"61"
"11284",448.83,0,"95"
"11285",448.84,6481.44482421875,"95"
"11286",448.85,11569.4921875,"95"
"11287",448.86,0,"95"
"11288",448.87,0,"70"
"11289",448.88,1312.08288574219,"70"
"11290",448.89,11554.5625,"70"
"11291",448.9,2840.8525390625,"70"
"11292",448.91,0,"70"
"11293",448.94,0,"53"
"11294",448.95,0,"53"
"11295",448.96,10430.3427734375,"53"
"11296",448.97,19466.6826171875,"53"
"11297",448.98,2153.42065429688,"53"
"11298",448.99,0,"53"
"11299",449.18,0,"76"
"11300",449.19,0,"76"
"11301",449.2,20516.3173828125,"76"
"11302",449.21,8729.75073242188,"76"
"11303",449.22,0,"76"
"11304",449.31,0,"122"
"11305",449.32,0,"122"
"11306",449.33,16913.6958007812,"122"
"11307",449.34,9668.791015625,"122"
"11308",449.35,0,"122"
"11309",449.44,0,"74"
"11310",449.45,4261.90234375,"74"
"11311",449.46,13812.685546875,"74"
"11312",449.47,9114.93090820312,"74"
"11313",449.48,0,"74"
"11314",449.59,0,"38"
"11315",449.6,0,"38"
"11316",449.61,17003.5576171875,"38"
"11317",449.62,13062.1853027344,"38"
"11318",449.63,15697.9091796875,"38"
"11319",449.64,3320.53051757812,"53"
"11320",449.65,0,"53"
"11321",449.91,0,"155"
"11322",449.92,3152.99438476562,"25"
"11323",449.93,19231.4599609375,"25"
"11324",449.94,24191.7028808594,"25"
"11325",449.95,6750.15502929688,"25"
"11326",449.96,0,"25"
"11327",449.97,0,"25"
"11328",450.21,0,"110"
"11329",450.22,0,"110"
"11330",450.23,14297.8403320312,"110"
"11331",450.24,7990.62890625,"110"
"11332",450.25,0,"110"
"11333",450.28,0,"10"
"11334",450.29,3548.0146484375,"10"
"11335",450.3,10406.1826171875,"10"
"11336",450.31,10182.3115234375,"10"
"11337",450.32,8433.68481445312,"10"
"11338",450.33,22703.4638671875,"73"
"11339",450.34,0,"73"
"11340",450.35,0,"73"
"11341",450.54,0,"58"
"11342",450.55,0,"58"
"11343",450.56,10154.8354492188,"58"
"11344",450.57,17391.6040039062,"58"
"11345",450.58,0,"58"
"11346",450.59,0,"58"
"11347",450.6,0,"171"
"11348",450.61,10799.68359375,"171"
"11349",450.62,17649.7416992188,"171"
"11350",450.63,0,"171"
"11351",450.64,0,"171"
"11352",450.68,0,"77"
"11353",450.69,0,"77"
"11354",450.7,17757.462890625,"77"
"11355",450.71,26097.0107421875,"77"
"11356",450.72,9562.16259765625,"77"
"11357",450.73,0,"81"
"11358",450.74,0,"81"
"11359",450.75,0,"88"
"11360",450.76,0,"88"
"11361",450.77,11503.1245117188,"88"
"11362",450.78,21352.8095703125,"88"
"11363",450.79,0,"88"
"11364",450.8,11359.8955078125,"88"
"11365",450.81,20049.7109375,"196"
"11366",450.82,4915.35546875,"196"
"11367",450.83,0,"196"
"11368",451.01,0,"114"
"11369",451.02,0,"114"
"11370",451.03,10296.7397460938,"114"
"11371",451.04,18814.9814453125,"114"
"11372",451.05,0,"114"
"11373",451.06,0,"114"
"11374",451.29,0,"162"
"11375",451.3,9292.02783203125,"162"
"11376",451.31,18268.1245117188,"162"
"11377",451.32,0,"162"
"11378",451.33,0,"162"
"11379",451.44,0,"197"
"11380",451.45,0,"197"
"11381",451.46,7486.5400390625,"197"
"11382",451.47,12390.7421875,"123"
"11383",451.48,4218.01953125,"123"
"11384",451.49,13997.9677734375,"107"
"11385",451.5,22226.4091796875,"55"
"11386",451.51,22375.88671875,"55"
"11387",451.52,32243.8393554688,"55"
"11388",451.53,14111.5620117188,"55"
"11389",451.54,2654.6259765625,"55"
"11390",451.55,0,"194"
"11391",451.67,0,"41"
"11392",451.68,2191.3271484375,"9"
"11393",451.69,19466.5415039062,"9"
"11394",451.7,34789.5375976562,"9"
"11395",451.71,4842.85009765625,"9"
"11396",451.72,0,"9"
"11397",451.86,0,"194"
"11398",451.87,2970.86083984375,"194"
"11399",451.88,14018.779296875,"194"
"11400",451.89,2723.263671875,"194"
"11401",451.9,0,"194"
"11402",452.17,0,"191"
"11403",452.18,4850.49609375,"191"
"11404",452.19,19800.119140625,"191"
"11405",452.2,3651.68627929688,"191"
"11406",452.21,0,"191"
"11407",452.38,0,"134"
"11408",452.39,0,"134"
"11409",452.4,19747.07421875,"134"
"11410",452.41,19347.185546875,"134"
"11411",452.42,0,"134"
"11412",452.43,0,"134"
"11413",452.45,0,"1"
"11414",452.46,0,"1"
"11415",452.47,8667.0693359375,"1"
"11416",452.48,14561.6528320312,"1"
"11417",452.49,0,"1"
"11418",452.5,0,"1"
"11419",452.58,0,"58"
"11420",452.59,0,"58"
"11421",452.6,14833.4057617188,"58"
"11422",452.61,10599.5786132812,"58"
"11423",452.62,0,"58"
"11424",452.63,0,"6"
"11425",452.64,3567.33984375,"6"
"11426",452.65,20798.99609375,"6"
"11427",452.66,8625.91259765625,"6"
"11428",452.67,0,"6"
"11429",452.68,0,"6"
"11430",452.75,0,"126"
"11431",452.76,3390.46435546875,"126"
"11432",452.77,19566.3813476562,"126"
"11433",452.78,4643.8583984375,"126"
"11434",452.79,0,"126"
"11435",452.8,0,"196"
"11436",452.81,0,"196"
"11437",452.82,11092.3701171875,"196"
"11438",452.83,18348.6396484375,"196"
"11439",452.84,0,"196"
"11440",452.85,0,"196"
"11441",453.12,0,"169"
"11442",453.13,3693.23803710938,"169"
"11443",453.14,12075.029296875,"169"
"11444",453.15,10872.34375,"169"
"11445",453.16,0,"169"
"11446",453.36,0,"17"
"11447",453.37,4912.98193359375,"17"
"11448",453.38,24614.6467285156,"17"
"11449",453.39,28267.7890625,"17"
"11450",453.4,0,"17"
"11451",453.41,0,"56"
"11452",453.52,0,"30"
"11453",453.53,0,"30"
"11454",453.54,19253.4301757812,"30"
"11455",453.55,11568.0131835938,"30"
"11456",453.56,0,"30"
"11457",453.57,0,"30"
"11458",453.58,0,"112"
"11459",453.59,0,"112"
"11460",453.6,14383.330078125,"34"
"11461",453.61,23489.30078125,"34"
"11462",453.62,12545.9968261719,"34"
"11463",453.63,7973.94995117188,"34"
"11464",453.64,0,"34"
"11465",453.65,0,"34"
"11466",453.83,0,"46"
"11467",453.84,2977.787109375,"46"
"11468",453.85,15855.9711914062,"46"
"11469",453.86,2895.44140625,"46"
"11470",453.87,0,"46"
"11471",454.02,0,"183"
"11472",454.03,0,"183"
"11473",454.04,16301.1623535156,"183"
"11474",454.05,19811.0625,"183"
"11475",454.06,0,"183"
"11476",454.07,0,"183"
"11477",454.08,0,"1"
"11478",454.09,4585.34130859375,"1"
"11479",454.1,16944.6416015625,"1"
"11480",454.11,23448.783203125,"1"
"11481",454.12,7937.4951171875,"1"
"11482",454.13,13973.2626953125,"21"
"11483",454.14,9968.00561523438,"59"
"11484",454.15,0,"59"
"11485",454.27,0,"48"
"11486",454.28,5490.7939453125,"48"
"11487",454.29,12908.947265625,"48"
"11488",454.3,11215.333984375,"48"
"11489",454.31,0,"48"
"11490",454.46,0,"56"
"11491",454.47,4277.4892578125,"56"
"11492",454.48,18253.0390625,"56"
"11493",454.49,4549.8037109375,"56"
"11494",454.5,0,"56"
"11495",454.51,0,"123"
"11496",454.52,3282.14916992188,"123"
"11497",454.53,18521.953125,"123"
"11498",454.54,4205.2666015625,"123"
"11499",454.55,0,"123"
"11500",454.6,0,"13"
"11501",454.61,10407.0546875,"13"
"11502",454.62,12561.306640625,"13"
"11503",454.63,4552.9287109375,"13"
"11504",454.64,0,"13"
"11505",454.65,8835.83142089844,"70"
"11506",454.66,5614.92138671875,"70"
"11507",454.67,0,"70"
"11508",454.68,0,"70"
"11509",454.92,0,"65"
"11510",454.93,4294.71337890625,"65"
"11511",454.94,20893.9663085938,"65"
"11512",454.95,5366.12353515625,"65"
"11513",454.96,0,"65"
"11514",455,0,"103"
"11515",455.01,4835.33935546875,"103"
"11516",455.02,18872.8740234375,"103"
"11517",455.03,5938.8974609375,"103"
"11518",455.04,0,"103"
"11519",455.58,0,"92"
"11520",455.59,0,"92"
"11521",455.6,23165.3115234375,"92"
"11522",455.61,13858.015625,"92"
"11523",455.62,0,"92"
"11524",455.63,0,"92"
"11525",455.64,0,"69"
"11526",455.65,3574.16943359375,"69"
"11527",455.66,15640.5166015625,"69"
"11528",455.67,2982.61376953125,"69"
"11529",455.68,0,"69"
"11530",455.73,0,"44"
"11531",455.74,0,"44"
"11532",455.75,9020.84423828125,"44"
"11533",455.76,16437.1391601562,"44"
"11534",455.77,2153.57373046875,"44"
"11535",455.78,0,"44"
"11536",455.89,0,"26"
"11537",455.9,5767.88525390625,"26"
"11538",455.91,35001.7626953125,"26"
"11539",455.92,7763.57080078125,"26"
"11540",455.93,8908.0830078125,"26"
"11541",455.94,12880.5769042969,"34"
"11542",455.95,0,"34"
"11543",455.96,0,"34"
"11544",455.99,0,"67"
"11545",456,0,"67"
"11546",456.01,9339.18188476562,"67"
"11547",456.02,18197.1689453125,"67"
"11548",456.03,3900.06469726562,"67"
"11549",456.04,0,"57"
"11550",456.05,8650.68359375,"57"
"11551",456.06,15010.6997070312,"57"
"11552",456.07,0,"57"
"11553",456.08,0,"57"
"11554",456.44,0,"23"
"11555",456.45,4140.45556640625,"23"
"11556",456.46,13282.4384765625,"23"
"11557",456.47,7823.21875,"23"
"11558",456.48,0,"23"
"11559",456.53,0,"80"
"11560",456.54,0,"67"
"11561",456.55,16128.7302246094,"67"
"11562",456.56,31963.2111816406,"67"
"11563",456.57,34141.2446289062,"67"
"11564",456.58,0,"67"
"11565",456.59,0,"67"
"11566",456.62,0,"119"
"11567",456.63,0,"119"
"11568",456.64,10242.2507324219,"119"
"11569",456.65,17292.4968261719,"119"
"11570",456.66,0,"119"
"11571",456.67,0,"119"
"11572",456.93,0,"18"
"11573",456.94,0,"18"
"11574",456.95,12061.9892578125,"18"
"11575",456.96,6228.42041015625,"18"
"11576",456.97,0,"18"
"11577",456.98,0,"174"
"11578",456.99,3546.96044921875,"174"
"11579",457,16785.8784179688,"174"
"11580",457.01,4228.9970703125,"174"
"11581",457.02,0,"174"
"11582",457.07,0,"34"
"11583",457.08,4382.9267578125,"34"
"11584",457.09,16114.4033203125,"34"
"11585",457.1,9175.5732421875,"34"
"11586",457.11,0,"34"
"11587",457.16,0,"159"
"11588",457.17,4690.296875,"159"
"11589",457.18,12070.8427734375,"159"
"11590",457.19,11686.2485351562,"159"
"11591",457.2,0,"159"
"11592",457.3,0,"128"
"11593",457.31,0,"128"
"11594",457.32,11910.7734375,"128"
"11595",457.33,19030.1352539062,"128"
"11596",457.34,0,"128"
"11597",457.35,0,"128"
"11598",457.38,0,"190"
"11599",457.39,4743.46826171875,"190"
"11600",457.4,20920.5737304688,"190"
"11601",457.41,4757.53662109375,"190"
"11602",457.42,0,"190"
"11603",457.44,0,"87"
"11604",457.45,3729.31396484375,"87"
"11605",457.46,15395.1083984375,"87"
"11606",457.47,31682.0378417969,"87"
"11607",457.48,14389.990234375,"87"
"11608",457.49,0,"87"
"11609",457.5,0,"200"
"11610",457.66,0,"12"
"11611",457.67,0,"12"
"11612",457.68,18599.5498046875,"12"
"11613",457.69,11021.125,"12"
"11614",457.7,0,"12"
"11615",457.71,0,"12"
"11616",457.77,0,"89"
"11617",457.78,3334.708984375,"89"
"11618",457.79,10288.1201171875,"89"
"11619",457.8,8493.927734375,"45"
"11620",457.81,21996.9907226562,"45"
"11621",457.82,23673.61328125,"45"
"11622",457.83,2570.4111328125,"18"
"11623",457.84,19139.13671875,"18"
"11624",457.85,24194.4829101562,"18"
"11625",457.86,8519.68994140625,"18"
"11626",457.87,0,"18"
"11627",457.88,19694.3046875,"18"
"11628",457.89,13706.6787109375,"29"
"11629",457.9,4677.4287109375,"29"
"11630",457.91,0,"29"
"11631",458.07,0,"195"
"11632",458.08,4678.0263671875,"195"
"11633",458.09,16006.142578125,"195"
"11634",458.1,10997.9045410156,"195"
"11635",458.11,0,"195"
"11636",458.26,0,"168"
"11637",458.27,0,"168"
"11638",458.28,17100.8762207031,"168"
"11639",458.29,10633.8225097656,"168"
"11640",458.3,0,"168"
"11641",458.31,0,"168"
"11642",458.32,0,"6"
"11643",458.33,0,"6"
"11644",458.34,15250.40625,"6"
"11645",458.35,9443.28271484375,"6"
"11646",458.36,0,"6"
"11647",458.37,0,"6"
"11648",458.43,0,"110"
"11649",458.44,0,"110"
"11650",458.45,15476.486328125,"110"
"11651",458.46,8319.595703125,"110"
"11652",458.47,0,"110"
"11653",458.48,0,"110"
"11654",458.65,0,"97"
"11655",458.66,3158.15795898438,"97"
"11656",458.67,15284.7548828125,"28"
"11657",458.68,12622.4436035156,"28"
"11658",458.69,10946.3564453125,"28"
"11659",458.7,4709.3515625,"28"
"11660",458.71,0,"28"
"11661",458.76,0,"41"
"11662",458.77,11666.6875,"41"
"11663",458.78,17198.1147460938,"41"
"11664",458.79,0,"41"
"11665",458.8,0,"41"
"11666",458.86,0,"27"
"11667",458.87,5546.51953125,"27"
"11668",458.88,13278.201171875,"27"
"11669",458.89,12090.744140625,"27"
"11670",458.9,17558.4931640625,"27"
"11671",458.91,12111.4916992188,"57"
"11672",458.92,10695.7602539062,"57"
"11673",458.93,16873.8403320312,"57"
"11674",458.94,0,"57"
"11675",458.95,0,"57"
"11676",458.97,0,"110"
"11677",458.98,0,"110"
"11678",458.99,7099.7373046875,"110"
"11679",459,14206.9443359375,"110"
"11680",459.01,0,"110"
"11681",459.02,0,"110"
"11682",459.19,0,"60"
"11683",459.2,2786.74340820312,"60"
"11684",459.21,13018.310546875,"60"
"11685",459.22,10471.1511230469,"60"
"11686",459.23,0,"60"
"11687",459.31,0,"145"
"11688",459.32,3345.09301757812,"145"
"11689",459.33,16303.072265625,"145"
"11690",459.34,4070.25219726562,"145"
"11691",459.35,0,"145"
"11692",459.36,0,"156"
"11693",459.37,4207.69091796875,"156"
"11694",459.38,20142.1928710938,"141"
"11695",459.39,9822.03369140625,"141"
"11696",459.4,8981.56274414062,"141"
"11697",459.41,21481.51953125,"141"
"11698",459.42,4344.0615234375,"141"
"11699",459.43,0,"141"
"11700",459.47,0,"45"
"11701",459.48,6212.70556640625,"45"
"11702",459.49,11176.6616210938,"45"
"11703",459.5,0,"45"
"11704",459.51,0,"45"
"11705",459.55,0,"31"
"11706",459.56,0,"31"
"11707",459.57,10009.8564453125,"31"
"11708",459.58,17668.4926757812,"31"
"11709",459.59,0,"31"
"11710",459.6,0,"31"
"11711",459.89,0,"69"
"11712",459.9,0,"69"
"11713",459.91,9412.06640625,"69"
"11714",459.92,13583.3759765625,"69"
"11715",459.93,0,"69"
"11716",459.94,0,"69"
"11717",460.11,0,"3"
"11718",460.12,8089.46240234375,"3"
"11719",460.13,18813.6552734375,"3"
"11720",460.14,20760.544921875,"3"
"11721",460.15,0,"3"
"11722",460.16,0,"3"
"11723",460.27,0,"89"
"11724",460.28,0,"89"
"11725",460.29,9705.9833984375,"89"
"11726",460.3,16010.9379882812,"89"
"11727",460.31,13766.6674804688,"89"
"11728",460.32,0,"89"
"11729",460.33,0,"89"
"11730",460.64,0,"144"
"11731",460.65,9289.57202148438,"144"
"11732",460.66,11583.9931640625,"144"
"11733",460.67,15681.046875,"144"
"11734",460.68,0,"144"
"11735",460.69,0,"144"
"11736",460.71,0,"134"
"11737",460.72,4289.59375,"134"
"11738",460.73,18394.509765625,"134"
"11739",460.74,4754.15234375,"134"
"11740",460.75,0,"134"
"11741",460.83,0,"32"
"11742",460.84,10294.4272460938,"32"
"11743",460.85,13634.93359375,"32"
"11744",460.86,5278.998046875,"32"
"11745",460.87,0,"32"
"11746",460.88,0,"62"
"11747",460.89,18121.646484375,"62"
"11748",460.9,10431.4228515625,"62"
"11749",460.91,0,"62"
"11750",460.92,0,"62"
"11751",460.94,0,"70"
"11752",460.95,0,"70"
"11753",460.96,10111.1489257812,"70"
"11754",460.97,5235.40124511719,"70"
"11755",460.98,0,"70"
"11756",460.99,0,"70"
"11757",461.3,0,"51"
"11758",461.31,2732.31103515625,"51"
"11759",461.32,19611.287109375,"51"
"11760",461.33,4758.28076171875,"51"
"11761",461.34,0,"51"
"11762",461.35,19659.197265625,"119"
"11763",461.36,12006.1845703125,"119"
"11764",461.37,0,"119"
"11765",461.38,0,"119"
"11766",461.39,0,"135"
"11767",461.4,0,"135"
"11768",461.41,10177.3828125,"135"
"11769",461.42,22246.1674804688,"135"
"11770",461.43,15400.8212890625,"117"
"11771",461.44,22644.7182617188,"117"
"11772",461.45,17473.0966796875,"117"
"11773",461.46,4707.4248046875,"117"
"11774",461.47,0,"18"
"11775",461.48,9356.470703125,"18"
"11776",461.49,22328.1264648438,"18"
"11777",461.5,21534.638671875,"18"
"11778",461.51,0,"18"
"11779",461.52,0,"18"
"11780",461.55,0,"135"
"11781",461.56,3703.48681640625,"135"
"11782",461.57,17449.5942382812,"135"
"11783",461.58,3609.05078125,"135"
"11784",461.59,0,"135"
"11785",461.75,0,"40"
"11786",461.76,0,"40"
"11787",461.77,9273.6376953125,"40"
"11788",461.78,17086.1489257812,"40"
"11789",461.79,0,"40"
"11790",461.8,0,"40"
"11791",461.83,0,"10"
"11792",461.84,0,"10"
"11793",461.85,8044.6611328125,"10"
"11794",461.86,16260.0278320312,"10"
"11795",461.87,2667.50341796875,"10"
"11796",461.88,0,"10"
"11797",462.01,0,"141"
"11798",462.02,10485.28125,"141"
"11799",462.03,14245.720703125,"141"
"11800",462.04,4891.953125,"141"
"11801",462.05,0,"141"
"11802",462.09,0,"48"
"11803",462.1,3126.37280273438,"48"
"11804",462.11,19314.353515625,"48"
"11805",462.12,4023.77758789062,"48"
"11806",462.13,0,"48"
"11807",462.14,0,"150"
"11808",462.15,9748.91650390625,"150"
"11809",462.16,20251.3071289062,"150"
"11810",462.17,3080.857421875,"150"
"11811",462.18,0,"150"
"11812",462.19,0,"44"
"11813",462.2,0,"44"
"11814",462.21,6583.50146484375,"44"
"11815",462.22,11853.6572265625,"44"
"11816",462.23,0,"44"
"11817",462.24,0,"44"
"11818",462.48,0,"184"
"11819",462.49,2904.28564453125,"184"
"11820",462.5,7888.9697265625,"184"
"11821",462.51,6628.3818359375,"184"
"11822",462.52,0,"16"
"11823",462.53,2900.3759765625,"16"
"11824",462.54,20717.5178222656,"16"
"11825",462.55,20818.3759765625,"16"
"11826",462.56,3957.62524414062,"16"
"11827",462.57,0,"71"
"11828",462.58,11657.3095703125,"103"
"11829",462.59,13303.6513671875,"103"
"11830",462.6,5876.271484375,"103"
"11831",462.61,0,"103"
"11832",462.63,0,"169"
"11833",462.64,4597.8525390625,"169"
"11834",462.65,11837.181640625,"169"
"11835",462.66,11330.2041015625,"169"
"11836",462.67,0,"169"
"11837",462.73,0,"86"
"11838",462.74,0,"86"
"11839",462.75,18287.638671875,"86"
"11840",462.76,12519.7646484375,"5"
"11841",462.77,0,"5"
"11842",462.78,11614.5263671875,"5"
"11843",462.79,21322.2919921875,"5"
"11844",462.8,0,"5"
"11845",462.81,0,"5"
"11846",462.82,0,"196"
"11847",462.83,10217.171875,"196"
"11848",462.84,16803.36328125,"196"
"11849",462.85,0,"196"
"11850",462.86,0,"133"
"11851",462.87,0,"133"
"11852",462.88,10338.8129882812,"133"
"11853",462.89,20028.5654296875,"133"
"11854",462.9,0,"133"
"11855",462.91,0,"133"
"11856",462.93,0,"9"
"11857",462.94,4050.359375,"9"
"11858",462.95,20071.2705078125,"9"
"11859",462.96,15895.8515625,"9"
"11860",462.97,0,"9"
"11861",462.98,0,"9"
"11862",463,0,"166"
"11863",463.01,3870.14306640625,"166"
"11864",463.02,17787.1694335938,"166"
"11865",463.03,4973.89306640625,"166"
"11866",463.04,0,"166"
"11867",463.07,0,"142"
"11868",463.08,4632.11328125,"142"
"11869",463.09,11724.3828125,"142"
"11870",463.1,16624.1982421875,"142"
"11871",463.11,0,"142"
"11872",463.12,0,"142"
"11873",463.25,0,"95"
"11874",463.26,0,"95"
"11875",463.27,7815.427734375,"95"
"11876",463.28,11182.8701171875,"95"
"11877",463.29,0,"95"
"11878",463.3,0,"95"
"11879",463.31,0,"23"
"11880",463.32,0,"23"
"11881",463.33,7157.52490234375,"23"
"11882",463.34,13910.3325195312,"23"
"11883",463.35,0,"23"
"11884",463.36,11710.0405273438,"23"
"11885",463.37,7081.48828125,"197"
"11886",463.38,0,"197"
"11887",463.39,0,"197"
"11888",463.52,0,"85"
"11889",463.53,3547.33447265625,"85"
"11890",463.54,17944.03125,"85"
"11891",463.55,5050.0341796875,"85"
"11892",463.56,0,"85"
"11893",463.68,0,"182"
"11894",463.69,0,"182"
"11895",463.7,9970.271484375,"182"
"11896",463.71,15730.7404785156,"33"
"11897",463.72,2927.77221679688,"33"
"11898",463.73,35398.2841796875,"33"
"11899",463.74,19232.7016601562,"33"
"11900",463.75,0,"33"
"11901",463.76,0,"33"
"11902",463.79,0,"171"
"11903",463.8,5346.05859375,"171"
"11904",463.81,13963.6982421875,"171"
"11905",463.82,18741.6748046875,"171"
"11906",463.83,5864.6171875,"171"
"11907",463.84,0,"171"
"11908",464.2,0,"164"
"11909",464.21,0,"164"
"11910",464.22,14951.736328125,"164"
"11911",464.23,13222.90234375,"164"
"11912",464.24,4027.92919921875,"164"
"11913",464.25,0,"115"
"11914",464.26,3757.02099609375,"115"
"11915",464.27,19404.9799804688,"115"
"11916",464.28,5095.08349609375,"115"
"11917",464.29,0,"115"
"11918",464.33,0,"138"
"11919",464.34,4610.53955078125,"138"
"11920",464.35,14712.0185546875,"138"
"11921",464.36,17374.2124023438,"138"
"11922",464.37,0,"138"
"11923",464.38,0,"138"
"11924",464.4,0,"30"
"11925",464.41,0,"30"
"11926",464.42,22145.28515625,"30"
"11927",464.43,11145.4008789062,"30"
"11928",464.44,0,"30"
"11929",464.45,0,"30"
"11930",464.51,0,"97"
"11931",464.52,2046.15063476562,"97"
"11932",464.53,17349.80859375,"97"
"11933",464.54,6889.59252929688,"97"
"11934",464.55,0,"97"
"11935",464.56,0,"97"
"11936",464.63,0,"161"
"11937",464.64,0,"161"
"11938",464.65,19095.2880859375,"110"
"11939",464.66,11343.9829101562,"110"
"11940",464.67,0,"110"
"11941",464.68,0,"106"
"11942",464.69,0,"61"
"11943",464.7,0,"61"
"11944",464.71,0,"61"
"11945",464.72,0,"61"
"11946",464.73,0,"61"
"11947",464.74,0,"61"
"11948",464.79,0,"175"
"11949",464.8,0,"175"
"11950",464.81,0,"175"
"11951",464.82,0,"175"
"11952",464.83,0,"175"
"11953",464.84,0,"84"
"11954",464.85,4801.48193359375,"84"
"11955",464.86,25702.091796875,"84"
"11956",464.87,23263.6103515625,"64"
"11957",464.88,4483.84033203125,"64"
"11958",464.89,13084.1594238281,"64"
"11959",464.9,7824.43237304688,"64"
"11960",464.91,0,"64"
"11961",464.92,0,"64"
"11962",464.93,15738.1298828125,"179"
"11963",464.94,9949.8310546875,"179"
"11964",464.95,0,"179"
"11965",464.96,0,"179"
"11966",465.22,0,"36"
"11967",465.23,11123.8701171875,"36"
"11968",465.24,12096.11328125,"36"
